zijn:::to be<was/were<been
(ver)slaan:::to beat<beat<beaten
worden:::to become<became<become
beginnen:::to begin<began<begun
bijten:::to bite<bit<bitten
breken:::to break<broke<broken
brengen:::to bring<brought<brought
uitzenden:::to broadcast<broadcast<broadcast
bouwen:::to build<built<built
(ver)branden:::to burn<burnt<burnt
kopen:::to buy<bought<bought
kunnen, mogen:::can<could<-
vangen, grijpen:::to catch<caught<caught
kiezen:::to choose<chose<chosen
komen:::to come<came<come
kosten:::to cost<cost<cost
knippen, snijden:::to cut<cut<cut
doen:::to do<did<done
tekenen, trekken:::to draw<drew<drawn
dromen:::to dream<dreamt<dreamt
drinken:::to drink<drank<drunk
rijden:::to drive<drove<driven
eten:::to eat<ate<eaten
vallen:::to fall<fell<fallen
voeden:::to feed<fed<fed
voelen:::to feel<felt<felt
vinden:::to find<found<found
vliegen:::to fly<flew<flown
vergeten:::to forget<forgot<forgotten
vergeven:::to forgive<forgave<forgiven
